"","Month","LongDes","TotItemQty","Brand"
"276",1,"KLONDIKE ORIGINAL VAN 6PK 4,5OZ",110,"OTHER"
"277",1,"KLONDIKE RED FAT NSA 6EA",49,"OTHER"
"278",1,"KLONDIKE VANILLA SANDWICH",79,"OTHER"
"279",1,"LIFEWAY KEFIR TT MANGO",24,"OTHER"
"280",1,"LIFEWAY KEFIR TT ORIGINAL",8,"OTHER"
"281",1,"LIFEWAY KEFIR TT PMGRANT",17,"OTHER"
"282",1,"LIFEWAY KEFIR TT STRWBRY",18,"OTHER"
"283",1,"LUIGIS ITAL ICE VARTY PK",92,"OTHER"
"284",1,"LUIGIS ITALIAN ICE CHERRY",75,"OTHER"
"285",1,"LUIGIS ITALIAN ICE NS VRTY",40,"OTHER"
"286",1,"M/MAID SFT FRZN LEMONADE",47,"OTHER"
"287",1,"M/MAID SFT FRZN LIMEADE",51,"OTHER"
"288",1,"MAGNOLIA ICE CREAM CCNUT",24,"OTHER"
"289",1,"MAGNOLIA ICE CREAM TRPCL AVCDO",35,"OTHER"
"290",1,"MAGNOLIA ICE CREAM TRPCL UBE",36,"OTHER"
"291",1,"MAGNUM DBL CARAMEL IC BARS",114,"OTHER"
"292",1,"MAGNUM DBL CARAMEL ICE CRM BARS",1,"OTHER"
"293",1,"MAGNUM GOLD 3PK",44,"OTHER"
"294",1,"MINUTE MAID JUICE BARS",37,"OTHER"
"295",1,"MOUNDS ICRM BARS 6CT",16,"OTHER"
"296",1,"NE CLASSIC DRMSTICK COMBO 8CT",209,"OTHER"
"297",1,"NE CLASSIC DRMSTK VNLLA 8EA",264,"OTHER"
"298",1,"NESTLE LIL DRUM CHOC SWIRL",55,"OTHER"
"299",1,"OSD ND CHOC VELVET OG 32OZ",9,"OTHER"
"300",1,"OSD ND CREAMY VANILLA OG 32OZ",23,"OTHER"
"301",1,"OSD ND NEOPOLITAN 32OZ",10,"OTHER"
"302",1,"POPSICLE FIRECRACKER JR",60,"OTHER"
"303",1,"POPSICLE FUDGSICLE NSA",157,"OTHER"
"304",1,"POPSICLE JLY RNCHR AWESOME TWOSOME",1,"OTHER"
"305",1,"POPSICLE JOLLY RANCHER 20PK",48,"OTHER"
"306",1,"POPSICLE OR/GR/CHRY 24EA",136,"OTHER"
"307",1,"POPSICLE S/F OR/CH/GR 24PK",152,"OTHER"
"308",1,"POPSICLE SCRIBBLERS 24EA",48,"OTHER"
"309",1,"POPSICLE SF ORG/CHRY/GRP",83,"OTHER"
"310",1,"POPSICLE SF TROPICALS 24PK",93,"OTHER"
"311",1,"POPSICLE SOUR PATCH 18CT",33,"OTHER"
"312",1,"RDRM VANILLA 16OZ",17,"OTHER"
"313",1,"REESE'S ICE CREAM CUP",56,"OTHER"
"314",1,"RICE DRM BITES VAN 6.6 OZ",13,"OTHER"
"315",1,"RSH BWL MEAL IN A BWL ENGRY",1,"OTHER"
"316",1,"RSH BWL MEAL IN A BWL OASIS",10,"OTHER"
"317",1,"RSH BWL MEAL IN A BWL PWR",8,"OTHER"
"318",1,"RSH BWL MEAL IN A BWL YOGA",9,"OTHER"
"319",1,"RSH BWL ML IN A BWL ACAI GF",7,"OTHER"
"320",1,"S COW TRUFFLE BAR CRML",63,"OTHER"
"321",1,"S.COW CHOC.VAN SANDWICH 3CT",76,"OTHER"
"322",1,"S/COW NSA VANILLA SANDWICH 6CT",72,"OTHER"
"323",1,"SCOOPS BANANA NUT 64OZ",18,"OTHER"
"324",1,"SCOOPS BUTTER PECAN 64OZ",33,"OTHER"
"325",1,"SCOOPS CHOCOLATE 64OZ",42,"OTHER"
"326",1,"SCOOPS CHOCOLATE CHIP 64OZ",40,"OTHER"
"327",1,"SCOOPS COOKIES & CREAM 64OZ",44,"OTHER"
"328",1,"SCOOPS LOWFAT CHOCOLATE 64OZ",6,"OTHER"
"329",1,"SCOOPS LOWFAT VANILLA 64OZ",3,"OTHER"
"330",1,"SCOOPS MUDSLIDE COFFEE I/C 64OZ",33,"OTHER"
"331",1,"SCOOPS NEOPOLITAN 64OZ",28,"OTHER"
"332",1,"SCOOPS ROCKY ROAD 64OZ",30,"OTHER"
"333",1,"SCOOPS STRAWBERRY 64OZ",15,"OTHER"
"334",1,"SCOOPS TSTD ALMOND FUDGE 64OZ",76,"OTHER"
"335",1,"SCOOPS VANILLA 64OZ",159,"OTHER"
"336",1,"SCOOPS VANILLA FUDGE 64OZ",27,"OTHER"
"337",1,"SK ICE CRM SAND LF VAN 6EA",107,"OTHER"
"338",1,"SKINNY COW COOKIES & CRM",81,"OTHER"
"339",1,"SKINNY COW FUDGE BAR",51,"OTHER"
"340",1,"SLIM A BEAR 100CAL VAN BAR 2OZ",91,"OTHER"
"341",1,"SLIM ABEAR 100CA TOFF/FRVAN 8CT",80,"OTHER"
"342",1,"SNICKERS ICE CRM BARS",105,"OTHER"
"343",1,"SO DEL BAR CNUT ICRM ALM",33,"OTHER"
"344",1,"SO DEL CNUT BAN SPLT MINI SNDW",12,"OTHER"
"345",1,"SO DEL COCNT CHOC ICRM",26,"OTHER"
"346",1,"SO DEL COCONT CKY DGH",25,"OTHER"
"347",1,"SO DEL COCONT MLK ICRM",10,"OTHER"
"348",1,"SO DEL COCONT MOCHA",23,"OTHER"
"349",1,"SO DEL COCONT VAN",26,"OTHER"
"350",1,"SO DELICIO SYICRM MIN SAN VAN 2,3OZ",25,"OTHER"
"351",1,"SORBETTO BLOOD ORANGE",4,"OTHER"
"352",1,"SORBETTO LEMON",9,"OTHER"
"353",1,"SOUR POP GREEN APPLE",29,"OTHER"
"354",1,"SOY DELC CHOC OBESSN OG2 16OZ",12,"OTHER"
"355",1,"STNYFLD FRZN YOG DRK CHOC 16OZ",22,"OTHER"
"356",1,"STNYFLD LF MNT CHO YGRT OG2 16OZ",15,"OTHER"
"357",1,"STNYFLD NF VAN FDG YGRT OG2 16OZ",15,"OTHER"
"358",1,"STNYFLD NF VAN YOGRT OG2 16OZ",10,"OTHER"
"359",1,"STNYFLD YGRT FRZ FF BLUBRY",12,"OTHER"
"360",1,"STONYFIELD YGRT FRZ FF CHOC",22,"OTHER"
"361",1,"STONYFIELD YGRT FRZ FF HONEY",7,"OTHER"
"362",1,"STONYFIELD YGRT FRZ FF VANILLA",23,"OTHER"
"363",1,"STONYFIELD YOGURT FRZ NF BAR VAN W/CHOC",13,"OTHER"
"364",1,"SWT FRDM VAN ICRM CONE 6CT",29,"OTHER"
"365",1,"SYDRM BUTTER PECAN 16OZ",26,"OTHER"
"366",1,"TALENTI BLOOD ORANGE",1,"OTHER"
"367",1,"TALENTI BLOOD ORANGE SORBETTO 16OZ",33,"OTHER"
"368",1,"TALENTI GELATO CARAMEL COOKIE CRUNCH",106,"OTHER"
"369",1,"TALENTI GELATO CARIBBEAN COCONUT 16OZ",79,"OTHER"
"370",1,"TALENTI GELATO CH/PNT BTR CUP",122,"OTHER"
"371",1,"TALENTI GELATO COOKIE",1,"OTHER"
"372",1,"TALENTI GELATO CRRBN COCNT",1,"OTHER"
"373",1,"TALENTI GELATO CRRBN COCNT 16OZ",1,"OTHER"
"374",1,"TALENTI GELATO DBL DRK CHOC",1,"OTHER"
"375",1,"TALENTI GELATO DOUBLE DARK CHOC",89,"OTHER"
"376",1,"TALENTI GELATO MILK CHOC",120,"OTHER"
"377",1,"TALENTI GELATO MILK CHOC 16OZ",1,"OTHER"
