,X,month,LongDes,sum.ItemQuant.
468,3359,8,BLUE BELL AST SHERBET,73
469,3360,8,BLUE BELL BANANA POPS,97
470,3361,8,BLUE BELL BRTHDAY CK CUPS 12CT,42
471,3362,8,BLUE BELL CCNT FRUIT BARS,61
472,3363,8,BLUE BELL CHOC ECLAIR BAR,24
473,3364,8,BLUE BELL DBL VNLA IC SNDW,62
474,3365,8,BLUE BELL DREAM BAR,115
475,3366,8,BLUE BELL HMADE VAN CUPS 12CT,81
476,3367,8,BLUE BELL KRUNCH BARS,131
477,3368,8,BLUE BELL LIME FRUIT BARS,106
478,3369,8,BLUE BELL MINI CONE,92
479,3370,8,BLUE BELL MINI PARTY CONES,38
480,3371,8,BLUE BELL MOOO BAR,11
481,3372,8,BLUE BELL PEACH FRT BARS,57
482,3373,8,BLUE BELL STRWBRY SHRTCK BR,90
483,3378,8,BLUEBELL MINI RAINBOWS,-1
484,3379,8,BLUEBELL MOOO BARS,192
485,3380,8,BLUEBELL NS ADDED PT,69
486,3381,8,BLUEBELL SF BULLETS,89
487,3382,8,BLUEBELL SHERBET RAINBOW,21
488,3490,8,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,1
489,3800,9,BB BDAY PARTY SNDWCH,70
490,3801,9,BB BORDEAUX CHRY CHOC,138
491,3802,9,BB BULLETS,-1
492,3803,9,BB CHAMP VAR PK CONES,151
493,3804,9,BB CHOC CHRY BARS,-1
494,3805,9,BB DIPPED COCONUT FRT BARS,-3
495,3806,9,BB ICE CREAM SANDWICH,-1
496,3807,9,BB MINI SANDWICH,-7
497,3808,9,BB MINI SWIRL CRML CONES,116
498,3809,9,BB MINI SWRL BDAY PRTY CONE,72
499,3810,9,BB PREM BUNNY TRACKS,243
500,3811,9,BB PREM BUTTER PECAN,227
501,3812,9,BB PREM CHUNKY CHOC CHIP,150
502,3813,9,BB PREM COOKIES N CREAM,348
503,3814,9,BB PREM DBL STRWBRY,174
504,3815,9,BB PREM HOMEMADE CHOC,351
505,3816,9,BB PREM HOMEMADE VAN,825
506,3817,9,BB PREM MINT CHOC CHIP,299
