"","Month","LongDes","TotItemQty","Brand"
"171",8,"BLUE BELL MINI CONE",92,"BLUE BELL"
"172",8,"BLUE BELL MINI PARTY CONES",38,"BLUE BELL"
"173",8,"BLUE BELL MOOO BAR",11,"BLUE BELL"
"174",8,"BLUE BELL PEACH FRT BARS",57,"BLUE BELL"
"175",8,"BLUE BELL STRWBRY SHRTCK BR",90,"BLUE BELL"
"176",8,"BLUEBELL MINI RAINBOWS",-1,"BLUE BELL"
"177",8,"BLUEBELL MOOO BARS",192,"BLUE BELL"
"178",8,"BLUEBELL NS ADDED PT",69,"BLUE BELL"
"179",8,"BLUEBELL SF BULLETS",89,"BLUE BELL"
"180",8,"BLUEBELL SHERBET RAINBOW",21,"BLUE BELL"
"181",9,"BBELL ASST FLAVOR PINTS",-29,"BLUE BELL"
"182",9,"BLUE BELL AST SHERBET",-1,"BLUE BELL"
"183",9,"BLUE BELL CCNT FRUIT BARS",-1,"BLUE BELL"
"184",9,"BLUE BELL COTTON CANDY BARS",-1,"BLUE BELL"
"185",9,"BLUE BELL DREAM BAR",-2,"BLUE BELL"
"186",9,"BLUE BELL KRUNCH BARS",-2,"BLUE BELL"
"187",9,"BLUE BELL MINI CONE",-1,"BLUE BELL"
"188",9,"BLUE BELL PEACH FRT BARS",-4,"BLUE BELL"
"189",9,"BLUEBELL MOOO BARS",-4,"BLUE BELL"
"190",9,"BLUEBELL SHERBET RAINBOW",-2,"BLUE BELL"
"191",10,"BBELL ASST FLAVOR PINTS",-3,"BLUE BELL"
"192",10,"BLUEBELL MOOO BARS",-1,"BLUE BELL"
"193",16,"BBELL ASST FLAVOR PINTS",8046,"BLUE BELL"
"194",16,"BLUE BELL HMADE VAN CUPS 12CT",481,"BLUE BELL"
"195",17,"BBELL ASST FLAVOR PINTS",8362,"BLUE BELL"
"196",17,"BLUE BELL HMADE VAN CUPS 12CT",597,"BLUE BELL"
"197",18,"BBELL ASST FLAVOR PINTS",6551,"BLUE BELL"
"198",18,"BLUE BELL HMADE VAN CUPS 12CT",625,"BLUE BELL"
"199",19,"BBELL ASST FLAVOR PINTS",7663,"BLUE BELL"
"200",19,"BLUE BELL HMADE VAN CUPS 12CT",714,"BLUE BELL"
"201",20,"BBELL ASST FLAVOR PINTS",8068,"BLUE BELL"
"202",20,"BLUE BELL HMADE VAN CUPS 12CT",511,"BLUE BELL"
"203",21,"BBELL ASST FLAVOR PINTS",9132,"BLUE BELL"
"204",21,"BLUE BELL HMADE VAN CUPS 12CT",677,"BLUE BELL"
"205",22,"BBELL ASST FLAVOR PINTS",8398,"BLUE BELL"
"206",22,"BLUE BELL HMADE VAN CUPS 12CT",527,"BLUE BELL"
"207",22,"BLUEBELL NS ADDED PT",141,"BLUE BELL"
"208",23,"BBELL ASST FLAVOR PINTS",9154,"BLUE BELL"
"209",23,"BLUE BELL HMADE VAN CUPS 12CT",653,"BLUE BELL"
"210",23,"BLUEBELL NS ADDED PT",266,"BLUE BELL"
"211",24,"BBELL ASST FLAVOR PINTS",8741,"BLUE BELL"
"212",24,"BBELL ASST FLAVOR PINTS 16OZ",6631,"BLUE BELL"
"213",24,"BLUE BELL AST SHERBET 32OZ",712,"BLUE BELL"
"214",24,"BLUE BELL BANANA POPS",254,"BLUE BELL"
"215",24,"BLUE BELL BRTHDAY CK CUPS 12EA",138,"BLUE BELL"
"216",24,"BLUE BELL CHOC ECLAIR BAR 1EA",6,"BLUE BELL"
"217",24,"BLUE BELL COCONUT FRUIT BARS",152,"BLUE BELL"
"218",24,"BLUE BELL COTTON CANDY BARS",90,"BLUE BELL"
"219",24,"BLUE BELL DBL VNLA IC SNDW 1EA",123,"BLUE BELL"
"220",24,"BLUE BELL DREAM BAR",197,"BLUE BELL"
"221",24,"BLUE BELL HMADE VAN CUPS 12CT",665,"BLUE BELL"
"222",24,"BLUE BELL HMADE VAN CUPS 12EA",453,"BLUE BELL"
"223",24,"BLUE BELL KRUNCH BARS 12EA",321,"BLUE BELL"
"224",24,"BLUE BELL LIME FRUIT BARS",267,"BLUE BELL"
"225",24,"BLUE BELL MINI CONE 12EA",174,"BLUE BELL"
"226",24,"BLUE BELL MINI PARTY CONES",71,"BLUE BELL"
"227",24,"BLUE BELL MOOO BAR",24,"BLUE BELL"
"228",24,"BLUE BELL PEACH FRUIT BARS",48,"BLUE BELL"
"229",24,"BLUE BELL SOUR POPS GREEN APPLE",46,"BLUE BELL"
"230",24,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",261,"BLUE BELL"
"231",24,"BLUE BELL STRWBRY SHRTCK BR 1EA",145,"BLUE BELL"
"232",24,"BLUEBELL MINI RAINBOWS 24EA",132,"BLUE BELL"
"233",24,"BLUEBELL MOOO BARS 12EA",390,"BLUE BELL"
"234",24,"BLUEBELL NS ADDED PT",233,"BLUE BELL"
"235",24,"BLUEBELL NS ADDED PT 16OZ",149,"BLUE BELL"
"236",24,"BLUEBELL SF BULLETS 24EA",184,"BLUE BELL"
"237",24,"BLUEBELL SHERBET RAINBOW 16OZ",183,"BLUE BELL"
